status,xa1,xa2,xb1,xb2,xc1,xc2,xd1,xd2
straight,155,509,196,641,100,641,-1,641
straight,145,513,214,641,118,641,-1,641
straight,-1,520,232,641,140,641,-1,641
straight,-1,525,247,641,160,641,17,641
straight,-1,538,271,641,187,641,33,641
right,-1,543,294,320,213,641,82,641
right,-1,531,298,322,222,641,78,641
right,-1,535,313,334,243,641,106,641
right,-1,503,306,327,240,641,115,641
right,-1,472,294,320,238,641,124,641
right,-1,637,296,641,218,641,119,641
straight,-1,641,237,625,192,639,105,641
straight,-1,641,211,579,172,602,112,639
straight,-1,641,208,546,146,569,74,616
straight,279,641,169,512,134,538,64,588
straight,269,641,160,511,125,537,59,589
straight,252,641,147,514,114,552,49,591
straight,246,641,145,510,112,535,49,588
straight,242,641,140,519,108,531,44,583
straight,239,641,139,497,106,524,43,578
straight,231,641,144,497,96,524,35,576
straight,221,641,126,490,93,534,32,586
straight,225,641,130,476,96,504,35,558
straight,217,641,120,474,88,502,26,556
straight,213,641,117,466,86,494,24,548
straight,212,641,110,464,79,492,18,548
straight,201,641,105,474,75,504,15,540
straight,-1,641,110,450,80,478,18,534
straight,-1,545,106,450,75,478,15,532
straight,-1,553,103,449,73,477,12,530
straight,-1,556,100,448,68,476,9,546
straight,-1,641,98,446,65,488,6,526
straight,-1,641,90,444,58,485,13,540
straight,-1,641,93,448,61,464,2,516
straight,-1,641,104,641,71,460,11,511
straight,-1,641,93,641,60,465,0,532
straight,-1,641,76,641,44,468,0,513
straight,-1,641,80,641,46,641,0,506
straight,-1,641,80,641,47,641,0,503
straight,-1,641,74,641,41,641,-1,500
straight,-1,641,74,641,40,641,-1,506
straight,-1,641,76,641,42,641,-1,641
straight,-1,641,75,641,40,641,-1,641
straight,-1,641,75,641,41,641,-1,641
straight,-1,641,74,641,39,641,-1,641
straight,-1,641,71,641,36,641,-1,641
straight,-1,641,65,641,29,641,-1,641
straight,-1,641,61,641,25,641,-1,641
right,-1,641,61,641,25,641,-1,641
straight,-1,641,182,320,24,641,-1,641
straight,-1,641,307,438,9,641,-1,641
straight,-1,641,-1,532,8,641,-1,641
straight,-1,641,-1,514,285,641,-1,641
straight,-1,641,-1,570,297,359,-1,641
right,-1,641,-1,593,319,326,-1,641
right,-1,641,-1,625,-1,412,8,641
right,-1,641,-1,639,-1,464,121,641
right,-1,641,-1,639,-1,486,179,641
right,-1,641,-1,608,-1,469,277,641
right,-1,641,-1,511,-1,427,283,641
right,-1,641,-1,465,-1,392,250,641
right,-1,641,-1,422,-1,361,242,641
right,-1,641,-1,385,-1,329,231,641
right,-1,621,-1,352,304,320,219,641
right,-1,532,319,324,283,641,208,641
straight,-1,636,300,641,259,641,193,641
straight,-1,576,260,641,230,641,172,641
straight,-1,514,233,641,209,620,155,641
straight,-1,480,220,641,193,615,142,641
straight,319,474,212,641,184,641,153,641
straight,319,461,217,641,191,641,147,641
straight,319,462,208,641,185,641,124,641
straight,318,456,200,641,165,641,117,641
straight,318,458,182,641,160,641,112,641
straight,314,454,180,641,157,641,109,641
straight,306,454,185,641,163,641,120,641
straight,309,448,178,641,145,641,105,641
straight,313,448,172,641,140,641,109,641
right,319,456,162,641,150,641,97,641
right,315,457,160,641,138,641,95,641
right,315,458,151,641,137,641,88,641
right,311,454,148,641,125,641,80,641
right,274,436,-1,641,98,641,57,641
right,305,388,-1,641,-1,641,-1,641
right,319,342,150,641,-1,641,-1,641
right,288,320,197,641,-1,641,-1,641
straight,256,320,222,641,91,641,-1,641
straight,208,320,143,641,91,641,-1,641
straight,185,320,175,641,83,641,-1,641
straight,198,320,151,641,111,641,-1,641
straight,198,476,181,641,129,641,-1,641
straight,230,478,204,641,126,641,-1,641
straight,232,474,210,641,130,641,0,641
right,305,320,217,641,150,641,30,641
right,302,486,239,641,171,641,43,641
right,299,489,255,641,192,641,-1,641
right,310,328,260,641,195,641,-1,641
right,285,439,239,641,184,641,-1,641
right,255,413,230,641,175,641,-1,641
straight,315,365,207,639,162,641,-1,641
straight,313,331,218,605,152,622,-1,639
straight,303,320,194,578,129,597,31,630
straight,274,641,182,552,136,574,36,608
straight,303,479,179,546,134,569,28,606
straight,290,475,172,532,130,566,12,604
straight,285,468,162,539,130,552,30,603
straight,279,470,158,541,127,563,25,593
straight,271,472,161,532,116,563,6,607
straight,275,464,167,526,129,548,55,601
straight,279,456,168,522,130,554,55,602
straight,268,460,151,526,117,558,52,606
straight,267,454,162,524,126,556,56,604
straight,270,452,153,520,127,542,54,602
straight,266,448,154,521,128,554,59,592
straight,268,452,163,532,127,544,58,601
straight,267,450,166,522,131,544,61,600
straight,271,444,172,521,135,554,58,600
straight,277,441,176,528,129,542,71,600
straight,276,442,175,522,140,556,66,590
straight,275,448,174,524,139,558,71,605
straight,274,445,167,534,142,560,73,607
straight,277,445,177,526,143,562,65,609
straight,278,444,171,524,147,562,67,610
straight,278,447,183,526,138,564,70,600
straight,284,446,188,534,155,563,87,613
straight,286,447,180,528,146,566,88,616
straight,284,453,189,533,156,570,89,622
right,282,455,188,536,156,573,89,612
right,284,456,182,536,148,564,93,628
straight,284,455,190,538,158,566,84,631
straight,286,456,191,538,160,566,96,630
straight,217,449,187,525,148,569,81,616
straight,212,440,155,572,120,554,70,607
straight,246,415,150,514,130,543,73,602
straight,243,410,148,500,128,540,61,586
straight,240,407,144,498,113,527,66,597
straight,233,412,138,498,108,528,62,597
straight,230,410,137,494,106,524,61,594
straight,229,403,136,489,106,542,60,590
straight,200,402,130,488,99,530,45,588
straight,219,398,128,494,96,526,51,572
straight,218,391,124,480,92,510,45,580
straight,210,389,118,477,96,506,31,564
straight,205,386,111,476,81,504,25,574
straight,199,382,108,470,78,510,23,558
straight,200,376,109,465,79,504,22,565
straight,200,375,108,460,78,500,20,558
straight,202,367,108,453,78,483,20,553
straight,197,363,103,461,73,480,24,550
straight,194,360,100,446,70,486,22,544
straight,191,353,97,440,67,470,18,525
straight,185,356,90,438,60,466,11,535
straight,184,350,90,442,60,460,3,514
straight,176,340,102,422,64,463,14,508
straight,174,342,91,424,60,452,10,507
straight,185,347,85,425,54,453,3,506
straight,176,352,79,438,48,467,0,522
straight,179,348,80,425,49,452,0,519
left,178,348,77,424,47,463,-1,502
straight,179,348,77,424,47,450,0,502
straight,179,349,75,435,45,450,-1,500
straight,180,352,74,424,43,447,-1,497
straight,184,354,78,435,47,468,-1,504
straight,172,356,95,428,60,451,0,512
straight,187,353,95,435,57,451,0,497
straight,199,357,92,429,55,454,0,499
straight,170,362,87,434,51,458,-1,503
straight,183,374,75,438,40,462,-1,519
straight,188,366,79,434,44,458,-1,500
straight,188,365,87,442,46,454,-1,497
straight,189,362,80,429,46,452,-1,510
straight,188,362,79,428,45,452,-1,497
straight,189,361,80,426,45,448,-1,494
straight,193,358,81,422,46,446,-1,492
straight,192,359,80,422,44,445,-1,490
straight,190,359,85,421,42,444,-1,488
straight,189,359,76,431,40,444,-1,488
straight,185,358,73,420,38,454,-1,500
straight,186,359,73,416,37,450,-1,482
straight,189,357,73,425,37,434,-1,480
straight,188,354,74,412,44,432,-1,476
straight,183,352,74,412,32,433,-1,475
straight,184,352,66,413,30,446,-1,475
straight,176,358,61,414,25,432,-1,474
straight,179,352,62,411,27,431,-1,469
left,181,355,64,410,28,442,-1,466
straight,182,349,63,403,28,426,-1,464
straight,182,348,60,426,32,438,-1,463
straight,179,348,57,419,22,424,-1,464
straight,176,357,55,422,19,428,-1,480
straight,156,354,69,421,27,442,-1,478
straight,187,354,64,418,32,412,-1,462
straight,185,351,62,419,23,426,-1,461
straight,184,356,60,408,21,427,-1,477
straight,181,356,59,410,20,428,-1,462
straight,184,359,62,421,22,428,-1,462
left,186,356,63,421,24,440,-1,463
straight,186,358,61,411,28,443,-1,446
straight,179,361,57,413,18,444,-1,466
straight,185,360,60,412,21,430,-1,466
straight,187,365,62,428,24,447,-1,468
straight,196,367,70,414,37,444,-1,466
straight,195,362,69,412,29,430,-1,478
straight,169,366,70,414,25,444,-1,480
straight,183,370,59,427,20,432,-1,466
straight,185,364,66,426,21,432,-1,465
straight,188,364,63,425,24,430,-1,478
straight,189,363,64,424,24,430,-1,462
straight,190,365,65,423,25,428,-1,476
straight,198,528,67,408,27,426,-1,459
straight,194,512,64,421,24,426,-1,460
straight,188,519,61,410,21,427,-1,460
straight,184,518,58,411,19,428,-1,475
straight,190,641,60,409,21,427,-1,459
straight,188,641,59,420,19,427,-1,460
straight,167,641,61,408,21,426,-1,458
straight,194,641,64,408,23,426,-1,458
straight,191,641,62,410,27,426,-1,460
left,191,641,61,409,20,425,-1,458
straight,164,641,64,419,24,422,-1,456
straight,200,641,67,406,33,420,-1,454
straight,196,641,64,419,30,422,-1,471
straight,171,641,65,413,24,428,-1,475
straight,172,641,74,418,34,432,-1,462
straight,215,641,80,420,46,435,-1,464
straight,212,641,76,437,34,440,-1,468
straight,207,641,72,430,31,445,-1,472
straight,211,641,78,432,36,461,-1,475
straight,213,641,79,434,37,461,-1,476
straight,215,641,82,433,41,448,-1,476
straight,221,605,87,432,45,461,-1,478
straight,219,622,84,436,43,464,-1,480
straight,216,641,81,438,40,467,-1,500
straight,214,641,81,450,48,454,-1,500
straight,185,393,87,438,46,466,-1,484
straight,190,641,90,450,48,454,-1,484
straight,196,641,93,451,60,456,-1,486
straight,190,641,101,440,60,456,-1,502
straight,189,641,101,442,60,458,-1,490
straight,191,641,98,551,58,462,-1,492
pause,187,641,95,464,56,465,-1,495
pause,193,641,97,454,58,479,-1,497
pause,183,641,99,641,58,467,-1,514
pause,180,641,96,641,56,482,-1,517
pause,177,641,94,641,52,473,-1,506
pause,174,641,91,641,51,477,-1,508
pause,178,641,97,641,56,476,-1,522
pause,181,641,103,641,61,540,-1,520
pause,185,641,105,641,62,525,-1,518
pause,189,641,106,641,63,520,-1,519
pause,171,641,102,641,60,545,-1,504
pause,186,641,104,641,61,540,-1,504
pause,185,641,99,641,57,476,-1,506
pause,176,641,96,641,55,476,-1,523
pause,183,641,97,641,56,476,-1,507
pause,178,641,100,641,58,573,-1,506
pause,180,641,105,641,63,526,-1,503
pause,192,641,106,641,63,514,-1,518
pause,177,641,108,641,59,572,-1,506
pause,184,641,94,641,53,476,-1,508
pause,186,641,95,641,54,476,-1,507
pause,196,641,98,641,57,476,-1,506
pause,165,641,97,641,56,475,-1,506
pause,167,641,94,641,53,476,-1,507
pause,173,641,96,641,55,476,-1,522
pause,178,641,100,641,59,569,-1,521
pause,181,641,104,641,61,542,-1,504
pause,173,641,99,641,57,476,-1,506
pause,175,641,91,641,50,477,-1,525
pause,178,641,90,641,49,490,-1,525
pause,186,641,92,641,51,476,-1,508
pause,184,641,90,641,50,490,-1,509
pause,179,641,90,641,50,490,-1,509
pause,181,641,91,641,50,490,-1,508
pause,171,641,90,641,50,490,-1,525
pause,183,641,90,641,50,490,-1,508
pause,178,641,89,641,49,478,-1,525
pause,180,641,86,641,47,478,-1,510
pause,179,641,85,641,45,492,-1,510
pause,176,641,84,641,44,479,-1,510
pause,183,641,84,641,44,493,-1,510
pause,184,641,84,641,44,493,-1,510
pause,177,641,84,641,44,479,-1,510
pause,178,641,84,641,44,479,-1,510
pause,183,641,84,641,44,493,-1,510
pause,187,641,84,641,44,493,-1,510
pause,178,641,84,641,52,479,-1,510
pause,182,641,84,641,44,493,-1,510
pause,176,641,84,641,44,493,-1,510
pause,178,641,84,641,44,479,-1,510
pause,177,641,84,641,44,479,-1,510
pause,178,641,84,641,44,493,-1,510
pause,180,641,84,641,44,493,-1,510
pause,185,641,91,641,44,493,-1,510
pause,185,641,91,641,44,493,-1,510
pause,170,641,84,641,44,492,-1,510
pause,177,641,84,641,44,493,-1,510
pause,176,641,92,641,44,493,-1,510
pause,175,641,84,641,44,493,-1,510
pause,184,641,84,641,44,493,-1,510
pause,186,641,84,641,44,493,-1,510
pause,178,641,84,641,44,493,-1,510
pause,181,641,84,641,44,493,-1,510
