status,xa1,xa2,xb1,xb2,xc1,xc2,xd1,xd2
straight,51,373,-1,495,-1,636,-1,641
straight,308,356,-1,447,-1,593,-1,641
straight,1,347,-1,433,-1,574,-1,641
straight,311,343,-1,432,-1,567,-1,641
straight,275,322,-1,359,-1,522,-1,641
straight,285,320,319,323,-1,450,-1,641
straight,243,320,297,328,-1,453,-1,641
left,239,320,256,641,-1,407,-1,616
left,230,320,256,641,-1,370,-1,565
left,211,320,225,641,297,337,-1,509
left,195,320,178,641,277,641,-1,468
left,270,320,228,641,314,320,-1,455
left,279,320,8,641,296,320,-1,440
left,314,320,10,641,315,339,-1,442
left,31,369,12,641,-1,355,-1,448
left,149,348,28,320,-1,348,-1,448
left,-1,422,22,345,-1,389,-1,479
left,230,456,32,350,-1,411,-1,473
left,282,486,-1,376,-1,433,-1,506
left,303,512,-1,420,-1,438,-1,506
left,-1,554,-1,436,-1,467,-1,545
left,95,598,-1,471,-1,502,-1,565
left,-1,626,-1,507,-1,536,-1,588
left,-1,639,-1,464,-1,569,-1,620
left,188,641,-1,380,-1,599,-1,639
left,157,641,-1,355,-1,565,-1,641
left,242,641,-1,354,-1,553,-1,641
straight,289,571,-1,354,-1,486,-1,641
straight,307,572,2,378,-1,478,-1,641
straight,-1,345,1,641,-1,475,-1,641
straight,-1,613,10,641,-1,487,-1,636
straight,311,618,39,641,-1,448,-1,602
straight,317,621,39,641,-1,641,-1,584
straight,317,625,44,641,-1,641,-1,557
straight,318,630,53,641,-1,641,-1,564
straight,-1,638,99,641,0,641,-1,494
straight,-1,419,94,641,8,641,-1,496
straight,-1,423,107,641,7,641,-1,641
straight,-1,424,116,641,21,641,-1,641
straight,-1,447,138,641,38,641,-1,641
straight,-1,448,172,641,81,641,-1,641
straight,-1,474,174,639,81,641,-1,641
straight,-1,484,186,627,92,641,-1,641
straight,-1,488,204,626,110,641,-1,641
straight,-1,511,232,579,139,641,-1,641
straight,-1,509,242,585,151,641,0,641
right,-1,527,270,537,184,641,42,641
right,-1,525,281,525,201,636,41,641
right,-1,529,295,505,217,617,91,641
right,-1,534,184,322,229,600,79,641
right,-1,483,282,503,217,592,110,641
right,-1,439,264,428,207,569,93,641
right,-1,396,239,381,187,554,86,641
right,-1,361,216,338,185,540,76,641
right,318,325,266,330,148,523,63,641
