status,xa1,xa2,xb1,xb2
right,-1,374,15,479
right,-1,370,21,471
right,24,365,27,464
right,24,361,31,458
straight,23,357,34,451
straight,21,351,38,443
straight,23,342,41,447
straight,24,334,45,451
straight,26,325,49,455
straight,28,316,-1,459
straight,30,307,-1,463
straight,32,298,-1,467
straight,33,289,-1,471
straight,35,278,-1,476
straight,38,267,-1,481
straight,40,257,-1,485
straight,41,256,-1,489
straight,43,-1,-1,493
straight,45,-1,-1,497
straight,46,-1,-1,501
straight,48,-1,-1,504
straight,50,-1,-1,509
straight,52,-1,-1,-1
left,54,-1,-1,-1
left,56,-1,-1,-1
left,61,-1,-1,-1
left,65,499,-1,-1
left,70,485,-1,-1
left,74,474,-1,-1
left,78,465,-1,-1
left,82,458,-1,-1
left,85,452,-1,-1
left,89,448,-1,505
left,92,445,-1,494
left,95,442,-1,484
left,97,442,-1,476
left,100,256,-1,469
left,101,261,-1,463
left,104,267,-1,458
left,104,273,-1,455
left,105,278,-1,452
left,104,285,-1,450
left,103,291,-1,449
left,104,297,-1,449
left,-1,303,-1,449
left,-1,309,-1,450
left,-1,316,-1,452
left,-1,323,-1,454
left,5,330,-1,457
left,13,336,-1,460
left,21,344,-1,464
left,29,351,-1,469
left,36,359,-1,474
left,43,367,-1,480
left,51,350,-1,487
left,58,319,-1,495
left,65,300,-1,504
left,71,291,-1,-1
left,77,286,-1,-1
left,83,282,-1,-1
left,89,281,-1,-1
left,94,281,-1,-1
left,100,281,0,-1
left,106,282,11,-1
left,111,283,23,-1
straight,116,287,34,-1
straight,124,-1,48,-1
straight,126,-1,39,-1
straight,129,-1,26,-1
straight,133,-1,15,-1
straight,136,-1,4,-1
straight,139,-1,0,-1
straight,141,-1,-1,-1
straight,145,-1,-1,-1
straight,148,-1,-1,-1
straight,151,-1,-1,-1
straight,154,-1,-1,-1
straight,158,-1,-1,-1
straight,161,-1,-1,-1
straight,164,-1,-1,-1
straight,167,-1,-1,-1
straight,170,-1,-1,-1
straight,173,-1,-1,-1
straight,176,-1,-1,502
straight,180,-1,-1,489
straight,183,-1,-1,476
straight,186,-1,-1,467
straight,189,-1,-1,454
straight,192,-1,-1,443
straight,195,-1,-1,432
straight,199,-1,-1,420
straight,201,-1,-1,410
straight,204,-1,-1,399
straight,208,-1,-1,387
straight,211,-1,-1,374
straight,214,-1,-1,363
straight,217,398,-1,352
straight,221,392,-1,-1
straight,224,387,-1,-1
straight,227,382,-1,-1
straight,231,376,-1,-1
straight,234,371,-1,-1
straight,237,366,-1,-1
right,240,361,0,-1
right,243,356,4,-1
right,238,350,11,-1
right,232,343,18,-1
right,226,336,23,-1
right,220,330,27,-1
right,215,324,29,-1
right,208,316,32,-1
right,202,307,33,-1
right,196,297,33,-1
right,189,284,32,-1
right,183,270,31,-1
right,175,256,28,-1
right,169,493,26,-1
right,162,484,22,-1
right,154,477,18,-1
right,147,469,14,-1
right,139,462,8,-1
right,131,454,2,-1
right,124,448,0,-1
right,115,442,-1,-1
right,104,434,-1,-1
right,96,429,-1,-1
right,84,421,-1,-1
right,73,415,-1,-1
right,61,410,-1,-1
right,49,404,-1,-1
right,36,398,-1,-1
right,22,392,-1,-1
right,7,386,-1,-1
right,-1,381,-1,-1
right,-1,375,-1,-1
right,-1,369,-1,505
right,-1,364,-1,495
right,-1,358,-1,485
straight,-1,351,-1,475
straight,-1,343,0,466
straight,-1,338,0,473
straight,52,334,7,480
straight,49,330,13,487
straight,43,324,21,495
straight,38,319,30,503
straight,34,315,37,511
straight,29,310,44,-1
straight,25,306,50,-1
straight,21,302,58,-1
straight,16,297,65,-1
straight,12,293,-1,-1
straight,7,288,-1,-1
straight,3,283,-1,-1
straight,0,278,-1,-1
straight,94,274,-1,-1
straight,97,269,-1,-1
straight,101,264,-1,-1
left,104,259,-1,-1
left,108,256,-1,-1
left,112,257,-1,-1
left,5,263,-1,-1
left,21,267,-1,-1
left,35,272,-1,-1
left,51,278,-1,-1
left,63,283,-1,-1
left,74,288,-1,509
left,86,294,-1,504
left,97,300,-1,500
left,106,306,-1,497
left,116,311,-1,495
left,126,318,-1,494
left,134,324,-1,494
left,0,330,-1,494
left,7,336,-1,496
left,17,343,-1,498
left,27,351,-1,501
left,35,358,-1,504
left,43,365,-1,508
straight,50,256,-1,-1
straight,60,383,-1,-1
straight,60,383,-1,-1
straight,61,384,-1,-1
straight,61,384,-1,-1
straight,61,384,-1,-1
straight,62,384,-1,-1
straight,62,385,-1,-1
straight,62,385,-1,-1
straight,62,385,-1,-1
straight,63,386,-1,-1
straight,63,386,-1,-1
left,63,386,-1,-1
left,64,386,-1,-1
left,70,394,-1,-1
left,77,403,-1,-1
left,84,412,-1,-1
left,91,423,-1,-1
left,99,435,-1,-1
left,104,444,-1,-1
left,110,261,-1,-1
left,116,270,-1,-1
left,122,279,-1,-1
left,128,288,-1,511
left,134,298,-1,491
left,140,308,-1,471
left,147,321,-1,453
left,153,333,-1,440
left,159,345,-1,429
left,166,359,-1,420
left,173,375,-1,411
left,180,391,-1,405
left,187,412,-1,399
left,194,428,-1,396
left,201,450,-1,392
left,210,475,-1,390
left,218,503,0,388
left,229,-1,0,387
left,240,-1,8,386
left,253,256,15,386
left,-1,270,22,425
left,-1,288,28,472
left,-1,311,34,-1
left,-1,342,40,-1
left,-1,385,45,-1
left,-1,461,51,-1
left,-1,-1,57,-1
right,-1,-1,62,-1
right,-1,-1,69,-1
right,-1,-1,64,-1
right,-1,-1,58,-1
right,-1,-1,51,-1
right,-1,-1,44,-1
right,-1,483,36,-1
right,-1,447,28,-1
right,-1,418,17,-1
right,-1,398,7,-1
right,-1,380,0,-1
right,-1,367,-1,-1
right,-1,355,-1,-1
right,-1,345,-1,-1
right,-1,335,-1,-1
right,-1,327,0,-1
right,-1,319,8,-1
right,-1,310,26,-1
right,-1,303,39,-1
right,-1,296,50,504
right,-1,289,60,494
right,-1,282,68,485
right,-1,275,75,476
right,-1,269,80,468
right,-1,262,84,460
right,255,256,88,453
right,249,408,90,446
right,242,397,91,440
right,236,388,92,434
right,230,380,92,428
right,223,371,91,423
right,216,362,90,417
right,210,354,88,412
right,202,345,86,406
straight,195,337,83,401
straight,187,328,79,395
straight,187,329,79,396
straight,188,329,80,397
straight,188,329,81,397
straight,189,330,82,398
straight,189,330,82,399
straight,189,330,83,400
straight,189,331,84,400
straight,190,331,85,401
straight,190,331,85,402
straight,190,331,86,402
straight,191,332,86,403
straight,191,332,87,404
straight,191,332,88,404
straight,192,333,89,405
straight,192,333,90,406
straight,192,333,90,407
straight,193,334,91,407
straight,193,334,92,408
straight,193,334,92,409
straight,194,335,93,409
straight,194,335,94,410
straight,194,335,94,411
straight,195,336,95,412
straight,195,336,96,412
straight,195,336,97,413
straight,196,337,98,414
straight,196,337,98,415
straight,196,337,99,415
straight,197,338,100,416
straight,197,338,100,417
straight,197,338,101,417
straight,197,339,102,418
straight,198,339,102,419
straight,198,339,103,420
straight,199,340,104,420
straight,199,340,105,421
straight,199,340,106,422
straight,200,341,106,423
straight,200,341,107,423
straight,200,341,108,424
straight,201,342,109,425
straight,201,342,109,426
straight,201,342,110,426
straight,201,343,111,427
straight,202,343,111,428
straight,202,-1,112,428
straight,202,-1,113,429
straight,203,-1,114,430
straight,203,-1,114,431
straight,203,-1,115,431
straight,204,-1,116,432
straight,204,-1,117,433
straight,204,-1,117,434
straight,205,-1,118,435
straight,205,-1,119,435
straight,206,-1,120,436
straight,206,-1,120,437
straight,206,-1,121,438
straight,207,-1,122,438
straight,207,-1,123,439
straight,207,-1,123,440
straight,208,-1,124,441
straight,208,-1,125,441
straight,208,-1,126,442
straight,209,-1,126,443
straight,209,-1,127,444
straight,209,-1,128,444
straight,209,-1,129,445
straight,210,-1,129,446
straight,210,-1,130,446
straight,211,-1,131,447
straight,211,-1,131,448
straight,211,-1,132,449
straight,211,-1,133,449
straight,212,-1,134,450
straight,212,-1,134,451
straight,212,503,135,-1
right,213,454,136,-1
right,212,395,136,-1
right,205,482,132,-1
right,198,-1,127,-1
right,190,-1,122,-1
right,211,-1,116,-1
right,234,256,109,503
right,247,256,102,472
right,253,256,94,450
right,-1,256,86,437
right,255,256,75,425
straight,-1,256,65,415
straight,255,256,50,408
straight,-1,262,46,424
straight,-1,270,42,443
straight,-1,280,38,464
straight,-1,290,33,486
straight,-1,298,29,505
straight,-1,308,25,-1
straight,-1,317,21,-1
straight,-1,326,17,-1
straight,-1,336,12,-1
straight,-1,345,8,-1
straight,-1,354,4,-1
straight,-1,363,0,-1
straight,-1,373,0,-1
right,-1,381,0,-1
right,-1,389,-1,-1
right,-1,376,-1,-1
right,-1,362,2,-1
right,-1,352,23,-1
right,-1,342,41,-1
right,-1,333,55,-1
right,-1,324,70,-1
right,-1,316,80,-1
right,-1,309,88,-1
right,-1,302,95,-1
right,-1,294,102,-1
right,-1,286,107,-1
right,-1,280,111,505
right,-1,272,114,496
right,-1,266,116,489
right,-1,259,118,481
right,251,-1,118,473
right,245,-1,118,467
right,238,-1,117,460
right,231,-1,116,454
right,225,-1,114,448
right,219,-1,113,444
right,211,357,109,438
right,204,350,106,433
right,197,342,102,427
straight,189,333,98,422
straight,179,323,91,415
straight,179,323,91,415
straight,178,424,90,415
straight,178,-1,90,414
straight,178,-1,90,414
straight,178,-1,89,414
straight,178,-1,89,413
straight,178,-1,89,413
straight,178,-1,89,413
straight,177,-1,88,413
straight,177,-1,88,412
straight,177,-1,88,412
straight,177,-1,88,412
straight,177,-1,87,412
straight,177,-1,87,411
straight,177,-1,87,411
straight,177,-1,87,411
straight,176,-1,86,410
straight,176,-1,86,410
straight,176,-1,86,410
straight,176,-1,85,410
straight,176,-1,85,409
straight,176,-1,85,409
straight,176,-1,85,409
straight,176,-1,84,409
straight,176,-1,84,408
straight,176,-1,84,408
straight,175,-1,84,408
straight,175,-1,83,408
straight,175,-1,83,407
straight,175,-1,83,407
straight,175,-1,83,407
straight,175,-1,82,407
straight,175,-1,82,-1
straight,175,-1,82,-1
straight,175,-1,82,-1
straight,175,-1,81,-1
straight,209,256,81,-1
straight,-1,366,81,-1
straight,-1,504,81,-1
straight,-1,-1,80,-1
straight,-1,-1,80,-1
straight,-1,-1,80,-1
right,-1,-1,80,-1
right,-1,-1,79,-1
right,-1,-1,73,-1
right,-1,-1,66,-1
right,-1,454,58,-1
right,-1,425,52,-1
right,-1,397,42,-1
right,-1,376,32,-1
right,-1,362,22,-1
right,-1,349,9,-1
right,-1,338,0,-1
right,-1,329,-1,-1
right,-1,321,-1,-1
right,-1,313,-1,-1
right,-1,305,-1,-1
right,-1,299,-1,-1
right,-1,292,0,-1
right,-1,285,9,501
right,-1,279,21,492
right,-1,272,32,482
right,-1,266,40,474
right,-1,260,48,465
right,253,256,54,457
right,247,422,58,450
right,242,412,62,444
right,235,401,64,437
right,229,392,66,431
right,223,383,67,426
right,216,373,67,420
right,210,365,67,414
right,203,356,66,408
right,196,348,64,403
right,189,339,61,398
right,183,333,59,394
straight,176,325,55,389
straight,166,314,49,382
straight,166,314,49,382
straight,166,314,49,382
straight,166,314,49,382
straight,166,314,49,382
straight,166,314,49,382
straight,166,314,50,382
straight,166,315,50,383
straight,166,315,50,383
straight,166,315,50,383
straight,166,315,50,383
straight,166,315,50,383
straight,167,315,51,383
straight,166,315,51,383
straight,167,315,51,384
straight,167,315,51,384
straight,167,315,51,384
straight,167,315,51,384
straight,167,315,51,384
straight,167,315,51,384
straight,167,315,52,384
straight,167,315,52,384
straight,167,315,52,385
straight,167,315,52,385
straight,167,315,52,385
straight,167,315,52,385
straight,167,315,52,385
straight,167,315,52,385
straight,167,315,53,385
straight,167,315,53,385
straight,167,316,53,385
straight,167,316,53,386
straight,167,316,53,386
straight,167,316,53,386
straight,168,316,53,386
straight,167,316,53,386
straight,168,316,54,386
straight,167,316,54,386
straight,168,316,54,386
straight,168,316,54,387
straight,168,316,54,387
straight,168,316,54,387
straight,168,316,54,387
straight,168,316,54,387
straight,168,316,55,387
straight,168,316,55,387
straight,168,316,55,388
straight,168,317,55,388
straight,168,317,55,388
straight,168,317,55,388
straight,168,317,55,388
straight,169,317,56,388
straight,169,317,56,388
straight,169,317,56,389
straight,169,317,56,389
straight,169,317,56,389
straight,169,317,56,389
straight,169,317,56,389
straight,169,317,57,389
straight,169,317,57,389
straight,169,317,57,390
straight,169,317,57,390
straight,169,318,57,390
straight,169,318,57,390
straight,169,318,57,390
straight,169,318,57,390
straight,169,318,58,390
straight,169,318,58,390
straight,169,318,58,391
straight,169,318,58,391
straight,170,318,58,391
straight,170,318,58,391
straight,170,318,58,391
straight,170,318,59,391
straight,170,318,59,391
straight,170,318,59,391
straight,170,318,59,392
straight,170,318,59,392
straight,170,318,59,392
straight,170,318,59,392
straight,170,318,59,392
straight,170,318,59,392
straight,170,319,60,392
straight,170,319,60,392
straight,170,319,60,393
straight,170,319,60,393
straight,170,319,60,393
straight,171,319,60,393
straight,171,319,60,393
straight,171,319,61,393
straight,171,319,61,393
straight,171,319,61,394
straight,171,319,61,394
straight,171,319,61,394
straight,171,319,61,394
straight,171,320,61,394
straight,171,320,62,394
straight,171,320,62,394
straight,171,320,62,395
straight,171,320,62,395
straight,171,320,62,395
straight,171,320,62,395
straight,171,320,62,395
straight,172,320,62,395
straight,171,320,63,395
straight,172,320,63,395
straight,171,320,63,396
straight,172,320,63,396
straight,172,320,63,396
straight,172,320,63,396
straight,172,320,63,396
straight,172,320,63,396
